location_name,full_address,zipcode,serves,site_type,days_of_week_open,url,phone,email,appointment_info,instructions_at_site,accessibility,latitude,longitude,location_type,vaccines_available
Abington: CVS (Centre Ave),"385 Centre Ave, Abington, MA 02351",2351,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.111687,-70.929293,#blue-star,Moderna
Abington: Stop & Shop (Centre Avenue),"375 Centre Avenue (Route 123), Abington, MA 02351",2351,All eligible people statewide,Indoor,Daily,https://www.stopandshop.com/covid-vaccine,781-871-9228,,,,,42.116902,-70.955082,#blue-star,Pfizer
Abington: Walmart (Brockton Ave),"777 Brockton Ave, Abington, MA 02351",2351,All eligible people statewide,Indoor,Daily,https://www.walmart.com/pharmacy/,781-857-2345,,,,,42.095358,-70.966523,#blue-star,"Moderna, Pfizer"
Acton: Acton Pharmacy,"563 Massachusetts Ave, Acton, MA 01720",1720,All eligible people statewide,Indoor,Daily,https://dinnohealth.com/actonpharmacy/,978-263-3901,,,,,42.476136,-71.473603,#blue-star,Moderna
Acton: CVS (Great Road),"344 Great Road, Acton, MA 01720",1720,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.502656,-71.419791,#blue-star,Moderna
Acton: CVS (Massachusetts Ave.),"400 Massachusetts Ave., Acton, MA 01720",1720,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.474535,-71.450603,#blue-star,Moderna
Acton: Walgreens (Powder Mill Road),"100 Powder Mill Road, Acton, MA 01720",1720,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.441808,-71.427122,#blue-star,Moderna
Adams: Walgreens (Columbia Street),"21 Columbia Street, Adams, MA 01220",1220,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.626474,-73.117888,#blue-star,Moderna
Agawam: CVS (Silver St.),"163 Silver Street, Agawam, MA 01001",1001,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.062038,-72.631739,#blue-star,Pfizer
Agawam: CVS (Springfield Street),"287 Springfield Street, Agawam, MA 01001",1001,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.08859,-72.639169,#blue-star,Moderna
Agawam: Walgreens (Springfield St.),"60 Springfield St., Agawam, MA 01001",1001,All eligible people statewide,Indoor,Daily,https://www.walgreens.com/findcare/vaccination/covid-19,800-925-4733,,,Appointment only,,42.089492,-72.629956,#blue-star,Pfizer
Allston: CVS (Brighton Ave),"181 Brighton Ave, Allston, MA 02134",2134,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.353251,-71.133732,#blue-star,Pfizer
Allston: CVS (Harvard Avenue),"214 Harvard Avenue, Allston, MA 02134",2134,All eligible people statewide,Indoor,Daily,https://www.cvs.com/immunizations/covid-19-vaccine,800-SHOP-CVS (1-800-746-7287),,,Check-in 15min prior,,42.34948,-71.130307,#blue-star,Moderna
